iter	Passed	Remaining
0	0	122
1	1	108
2	2	102
3	2	100
4	3	99
5	4	97
6	4	95
7	5	95
8	6	95
9	6	93
10	7	89
11	7	89
12	8	89
13	9	88
14	9	88
15	10	88
16	11	87
17	11	87
18	12	84
19	12	83
20	13	82
21	14	82
22	14	81
23	14	78
24	15	77
25	16	77
26	16	77
27	17	76
28	18	76
29	19	76
30	19	75
31	20	75
32	21	74
33	21	73
34	22	73
35	22	72
36	23	71
37	24	71
38	25	72
39	26	72
40	26	71
41	27	71
42	28	72
43	29	71
44	30	70
45	30	70
46	31	69
47	32	68
48	32	66
49	33	66
50	33	65
51	34	65
52	35	64
53	36	64
54	36	63
55	37	63
56	38	62
57	38	61
58	39	61
59	40	60
60	40	59
61	41	59
62	42	58
63	43	57
64	43	57
65	44	56
66	45	55
67	45	55
68	46	54
69	46	53
70	47	53
71	47	51
72	48	50
73	48	50
74	49	49
75	50	48
76	50	48
77	51	47
78	52	46
79	52	45
80	53	45
81	53	44
82	54	43
83	55	43
84	55	42
85	56	42
86	57	41
87	57	40
88	58	40
89	59	39
90	59	38
91	60	38
92	61	37
93	61	36
94	62	36
95	63	35
96	63	34
97	65	34
98	66	34
99	66	33
100	67	32
101	67	31
102	68	31
103	69	30
104	69	29
105	70	29
106	71	28
107	71	27
108	72	27
109	73	26
110	73	25
111	74	25
112	74	24
113	75	23
114	76	23
115	76	22
116	77	21
117	78	21
118	78	20
119	79	19
120	80	19
121	80	18
122	81	17
123	82	17
124	82	16
125	83	15
126	84	15
127	84	14
128	85	13
129	86	13
130	86	12
131	87	11
132	88	11
133	88	10
134	89	9
135	90	9
136	91	8
137	92	8
138	93	7
139	93	6
140	94	6
141	95	5
142	95	4
143	96	4
144	97	3
145	97	2
146	98	2
147	98	1
148	99	0
149	100	0
